pk,num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,2,Internet,RoundTrip,262,19,7,Sat,AKLDEL,New Zealand,1,0,0,5.52,Fail
2,1,Internet,RoundTrip,112,20,3,Sat,AKLDEL,New Zealand,0,0,0,5.52,Fail
3,2,Internet,RoundTrip,243,22,17,Wed,AKLDEL,India,1,1,0,5.52,Fail
4,1,Internet,RoundTrip,96,31,4,Sat,AKLDEL,New Zealand,0,0,1,5.52,Fail
5,2,Internet,RoundTrip,68,22,15,Wed,AKLDEL,India,1,0,1,5.52,Fail
6,1,Internet,RoundTrip,3,48,20,Thu,AKLDEL,New Zealand,1,0,1,5.52,Fail
7,3,Internet,RoundTrip,201,33,6,Thu,AKLDEL,New Zealand,1,0,1,5.52,Fail
8,2,Internet,RoundTrip,238,19,14,Mon,AKLDEL,India,1,0,1,5.52,Fail
9,1,Internet,RoundTrip,80,22,4,Mon,AKLDEL,New Zealand,0,0,1,5.52,Fail
10,1,Mobile,RoundTrip,378,30,12,Sun,AKLDEL,India,0,0,0,5.52,Fail
11,2,Internet,RoundTrip,185,25,14,Tue,AKLDEL,United Kingdom,1,1,1,5.52,Fail
12,1,Internet,RoundTrip,8,43,2,Sat,AKLDEL,New Zealand,1,1,1,5.52,Fail
13,4,Internet,RoundTrip,265,24,19,Mon,AKLDEL,New Zealand,1,0,1,5.52,Fail
14,1,Internet,RoundTrip,185,17,14,Fri,AKLDEL,India,0,0,0,5.52,Fail
15,1,Internet,RoundTrip,245,34,4,Tue,AKLDEL,New Zealand,1,1,1,5.52,Fail
16,1,Internet,RoundTrip,192,18,14,Thu,AKLDEL,India,1,0,0,5.52,Fail
17,1,Internet,RoundTrip,259,37,6,Sun,AKLDEL,India,0,0,0,5.52,Fail
18,1,Internet,RoundTrip,19,29,10,Sat,AKLDEL,New Zealand,0,0,1,5.52,Fail
19,1,Internet,RoundTrip,67,155,8,Sun,AKLDEL,New Zealand,1,0,0,5.52,Fail
20,1,Internet,RoundTrip,351,17,3,Sun,AKLHGH,China,0,0,0,5.07,Fail
21,2,Internet,CircleTrip,228,29,23,Wed,AKLHND,New Zealand,1,0,0,7.57,Fail
22,1,Internet,RoundTrip,21,88,9,Wed,AKLICN,South Korea,1,0,1,6.62,Fail
23,2,Internet,RoundTrip,23,19,8,Mon,AKLICN,New Zealand,1,0,1,6.62,Fail
24,2,Internet,RoundTrip,25,27,13,Fri,AKLICN,South Korea,1,0,1,6.62,Fail
25,1,Internet,RoundTrip,16,21,6,Thu,AKLICN,New Zealand,1,0,1,6.62,Fail
26,1,Internet,RoundTrip,66,20,7,Thu,AKLICN,South Korea,1,0,0,6.62,Fail
27,1,Internet,RoundTrip,51,28,6,Fri,AKLICN,South Korea,0,0,0,6.62,Fail
28,2,Internet,RoundTrip,37,24,7,Mon,AKLICN,New Zealand,1,0,0,6.62,Fail
29,1,Internet,RoundTrip,101,19,11,Tue,AKLICN,South Korea,1,0,1,6.62,Fail
30,1,Internet,RoundTrip,19,47,2,Tue,AKLICN,New Zealand,1,0,1,6.62,Fail
